epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.524,0.9813,1.95626,1.23608,0.87797,0.14262,0.60984,0.36676,1.15927,2.82225,1.38666,0.000647619,0.000647619,0.000647619
2,248.229,1.16739,1.67145,1.35561,0.54059,0.37624,0.42339,0.21669,1.5105,2.77363,1.7797,0.00128826,0.00128826,0.00128826
3,373.026,1.23178,1.72233,1.41913,0.40876,0.33663,0.30788,0.15377,1.4731,3.01244,2.05566,0.00190251,0.00190251,0.00190251
4,498.049,1.23888,2.06254,1.43471,0.69947,0.50699,0.59084,0.32271,1.31789,2.54506,1.65479,0.0018812,0.0018812,0.0018812
5,616.074,1.20921,1.5768,1.41216,0.69024,0.53465,0.56459,0.28452,1.51946,2.12835,1.68151,0.0018416,0.0018416,0.0018416
6,732.189,1.20335,1.51122,1.40834,0.54513,0.57426,0.57617,0.327,1.51829,2.09475,1.81687,0.001802,0.001802,0.001802
7,851.868,1.16536,1.39638,1.3772,0.65582,0.69307,0.68991,0.39908,1.39821,1.69327,1.65166,0.0017624,0.0017624,0.0017624
8,969.085,1.19617,1.43561,1.39418,0.68417,0.52475,0.56664,0.29269,1.49505,1.9957,1.77523,0.0017228,0.0017228,0.0017228
9,1085.26,1.16448,1.33679,1.36283,0.6224,0.68317,0.70566,0.41168,1.35548,1.83776,1.62154,0.0016832,0.0016832,0.0016832
10,1202.51,1.17905,1.30561,1.40462,0.70978,0.65347,0.67997,0.43546,1.21682,1.65969,1.4957,0.0016436,0.0016436,0.0016436
11,1320.05,1.12373,1.23825,1.33079,0.75787,0.70297,0.75409,0.44943,1.36035,1.39997,1.65062,0.001604,0.001604,0.001604
12,1440.29,1.1135,1.18749,1.34,0.79018,0.69307,0.77874,0.44797,1.24957,1.48822,1.6204,0.0015644,0.0015644,0.0015644
13,1563.71,1.08123,1.15433,1.29351,0.73089,0.72607,0.74552,0.4589,1.21353,1.52412,1.53443,0.0015248,0.0015248,0.0015248
14,1685,1.03063,1.1505,1.27042,0.64957,0.75245,0.69718,0.43789,1.25313,1.67886,1.48862,0.0014852,0.0014852,0.0014852
15,1799.79,1.08235,1.1405,1.3068,0.63659,0.69307,0.68822,0.44297,1.18762,1.54152,1.50558,0.0014456,0.0014456,0.0014456
16,1912.99,1.02486,1.0805,1.26881,0.59119,0.81188,0.73804,0.48613,1.14035,1.45741,1.4291,0.001406,0.001406,0.001406
17,2039.43,1.0619,1.06499,1.30377,0.75627,0.77228,0.77324,0.50033,1.14665,1.24051,1.41718,0.0013664,0.0013664,0.0013664
18,2161.1,1.01342,1.0229,1.26039,0.74807,0.76442,0.77902,0.48821,1.1963,1.16511,1.50439,0.0013268,0.0013268,0.0013268
19,2286.51,1.038,1.02822,1.26138,0.76065,0.75248,0.77453,0.47979,1.24434,1.1966,1.49073,0.0012872,0.0012872,0.0012872
20,2409.52,0.9971,0.96753,1.25895,0.72872,0.79791,0.8113,0.52832,1.12535,1.06009,1.43392,0.0012476,0.0012476,0.0012476
21,2530.9,0.99007,1.17996,1.20668,0.70252,0.81188,0.80314,0.52572,1.10696,1.02785,1.39531,0.001208,0.001208,0.001208
22,2661.85,0.95902,0.94222,1.23326,0.76463,0.78218,0.80943,0.54007,1.08616,1.07721,1.38868,0.0011684,0.0011684,0.0011684
23,2792.08,0.94936,0.93759,1.19717,0.80283,0.75248,0.80992,0.5336,1.14058,1.04461,1.42883,0.0011288,0.0011288,0.0011288
24,2914.94,0.95372,0.93481,1.20278,0.83747,0.73267,0.82157,0.5448,1.09177,1.00316,1.39047,0.0010892,0.0010892,0.0010892
25,3043.63,0.96016,0.88097,1.20618,0.80598,0.76238,0.8271,0.54507,1.12805,1.00341,1.44013,0.0010496,0.0010496,0.0010496
26,3165.2,0.89065,1.1412,1.16612,0.76876,0.80198,0.78042,0.50308,1.0943,1.07027,1.36734,0.00101,0.00101,0.00101
27,3290.31,0.89123,0.85896,1.15889,0.75575,0.81188,0.78721,0.54338,1.05321,0.98104,1.36053,0.0009704,0.0009704,0.0009704
